,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Total_Income
249,1.0,1.0,0.0,0,0.0,1809,1868.0,90.0,360.0,1.0,2,3677.0
433,1.0,1.0,0.0,0,0.0,2425,2340.0,143.0,360.0,1.0,1,4765.0
19,1.0,1.0,0.0,0,2.0,2600,3500.0,115.0,342.5432098765432,1.0,2,6100.0
322,1.0,1.0,2.0,1,0.0,3601,1590.0,144.0207468879668,360.0,1.0,0,5191.0
332,1.0,0.0,4.0,0,0.0,2833,0.0,71.0,360.0,1.0,2,2833.0
56,1.0,1.0,0.0,0,0.0,2132,1591.0,96.0,360.0,1.0,1,3723.0
301,1.0,1.0,4.0,1,0.0,2875,1750.0,105.0,360.0,1.0,1,4625.0
229,1.0,0.0,0.0,0,1.0,6400,0.0,200.0,360.0,1.0,0,6400.0
331,1.0,0.0,0.0,0,0.0,2935,0.0,98.0,360.0,1.0,1,2935.0
132,1.0,0.0,0.0,0,0.0,2718,0.0,70.0,360.0,1.0,1,2718.0
137,1.0,1.0,2.0,0,1.0,3316,3500.0,88.0,360.0,1.0,2,6816.0
423,1.0,1.0,1.0,0,0.0,7250,1667.0,110.0,342.5432098765432,0.0,2,8917.0
335,1.0,1.0,4.0,0,1.0,5503,4490.0,70.0,342.5432098765432,1.0,1,9993.0
25,1.0,1.0,0.0,0,1.0,9560,0.0,191.0,360.0,1.0,1,9560.0
464,1.0,0.0,0.0,0,0.0,4166,0.0,98.0,360.0,0.0,1,4166.0
281,1.0,1.0,0.0,0,0.0,3927,800.0,112.0,360.0,1.0,1,4727.0
247,1.0,1.0,1.0,1,0.0,6608,0.0,137.0,180.0,1.0,2,6608.0
237,0.0,0.0,0.0,0,1.0,3463,0.0,122.0,360.0,2.0,2,3463.0
117,1.0,1.0,1.0,0,0.0,2214,1398.0,85.0,360.0,2.0,2,3612.0
42,1.0,1.0,0.0,0,0.0,2400,0.0,75.0,360.0,2.0,2,2400.0
220,1.0,1.0,0.0,0,0.0,2221,0.0,60.0,360.0,0.0,2,2221.0
176,1.0,1.0,2.0,0,0.0,2045,1619.0,101.0,360.0,1.0,0,3664.0
320,1.0,1.0,0.0,0,0.0,2400,2167.0,115.0,360.0,1.0,1,4567.0
153,1.0,1.0,2.0,1,0.0,2281,0.0,113.0,360.0,1.0,0,2281.0
231,1.0,1.0,0.0,0,2.0,3716,0.0,42.0,180.0,1.0,0,3716.0
227,1.0,1.0,2.0,0,0.0,6250,1695.0,210.0,360.0,1.0,1,7945.0
417,1.0,1.0,2.0,0,1.0,1600,20000.0,239.0,360.0,1.0,2,21600.0
203,1.0,1.0,1.0,1,0.0,3500,1083.0,135.0,360.0,1.0,2,4583.0
126,2.0,1.0,3.0,0,0.0,23803,0.0,370.0,360.0,1.0,0,23803.0
329,0.0,0.0,0.0,0,0.0,2500,0.0,67.0,360.0,1.0,2,2500.0
31,1.0,0.0,0.0,0,0.0,3167,0.0,74.0,360.0,1.0,2,3167.0
113,0.0,0.0,1.0,0,1.0,7451,0.0,144.0207468879668,360.0,1.0,1,7451.0
470,1.0,1.0,1.0,0,1.0,3450,2079.0,162.0,360.0,1.0,1,5529.0
271,1.0,1.0,0.0,0,0.0,11146,0.0,136.0,360.0,1.0,2,11146.0
140,1.0,1.0,2.0,0,0.0,5042,2083.0,185.0,360.0,1.0,0,7125.0
57,1.0,1.0,0.0,0,0.0,3366,2200.0,135.0,360.0,1.0,0,5566.0
192,1.0,1.0,0.0,1,0.0,6033,0.0,160.0,360.0,1.0,2,6033.0
24,1.0,1.0,1.0,0,2.0,3717,2925.0,151.0,360.0,2.0,1,6642.0
17,0.0,0.0,0.0,0,0.0,3510,0.0,76.0,360.0,0.0,2,3510.0
265,1.0,0.0,0.0,0,0.0,4095,3447.0,151.0,360.0,1.0,0,7542.0
66,1.0,0.0,0.0,1,0.0,3200,2254.0,126.0,180.0,0.0,2,5454.0
208,1.0,0.0,0.0,0,0.0,2479,0.0,59.0,360.0,1.0,2,2479.0
479,1.0,1.0,2.0,0,0.0,2947,1603.0,144.0207468879668,360.0,1.0,2,4550.0
94,1.0,0.0,0.0,1,0.0,3620,0.0,25.0,120.0,1.0,1,3620.0
253,1.0,1.0,1.0,1,0.0,2661,7101.0,279.0,180.0,1.0,1,9762.0
266,1.0,1.0,2.0,0,0.0,4708,1387.0,150.0,360.0,1.0,1,6095.0
23,2.0,1.0,2.0,1,0.0,3365,1917.0,112.0,360.0,0.0,0,5282.0
222,1.0,0.0,0.0,0,0.0,2971,2791.0,144.0,360.0,1.0,1,5762.0
261,1.0,0.0,0.0,0,0.0,2060,2209.0,134.0,360.0,1.0,1,4269.0
426,0.0,0.0,1.0,1,0.0,4606,0.0,81.0,360.0,1.0,0,4606.0
5,1.0,1.0,2.0,0,1.0,5417,4196.0,267.0,360.0,1.0,2,9613.0
116,0.0,1.0,0.0,0,0.0,3167,2283.0,154.0,360.0,1.0,1,5450.0
45,0.0,0.0,0.0,0,0.0,3410,0.0,88.0,342.5432098765432,1.0,2,3410.0
16,1.0,0.0,1.0,1,0.0,3596,0.0,100.0,240.0,2.0,2,3596.0
462,1.0,1.0,0.0,0,0.0,3015,2188.0,153.0,360.0,1.0,0,5203.0
357,1.0,1.0,1.0,0,0.0,3875,0.0,67.0,360.0,1.0,2,3875.0
3,1.0,1.0,0.0,1,0.0,2583,2358.0,120.0,360.0,1.0,2,4941.0
218,1.0,1.0,2.0,0,2.0,5000,0.0,72.0,360.0,0.0,1,5000.0
405,0.0,0.0,0.0,0,0.0,4547,0.0,115.0,360.0,1.0,1,4547.0
60,1.0,1.0,0.0,0,0.0,2500,3796.0,120.0,360.0,1.0,2,6296.0
110,1.0,0.0,0.0,0,0.0,5316,0.0,136.0,360.0,1.0,2,5316.0
318,0.0,0.0,1.0,0,0.0,3541,0.0,112.0,360.0,2.0,1,3541.0
428,1.0,1.0,0.0,0,0.0,2920,16.12000084,87.0,360.0,1.0,0,2936.12000084
29,0.0,0.0,2.0,0,2.0,3750,2083.0,120.0,360.0,1.0,1,5833.0
437,1.0,1.0,0.0,0,0.0,2213,1125.0,144.0207468879668,360.0,1.0,2,3338.0
471,1.0,1.0,1.0,1,0.0,2653,1500.0,113.0,180.0,0.0,0,4153.0
26,1.0,1.0,0.0,0,0.0,2799,2253.0,122.0,360.0,1.0,1,5052.0
7,1.0,1.0,3.0,0,0.0,3036,2504.0,158.0,360.0,0.0,1,5540.0
453,1.0,1.0,0.0,0,0.0,2483,2466.0,90.0,180.0,0.0,0,4949.0
108,1.0,1.0,2.0,0,0.0,3800,3600.0,216.0,360.0,0.0,2,7400.0
37,0.0,1.0,0.0,0,0.0,3667,1459.0,144.0,360.0,1.0,1,5126.0
157,1.0,1.0,1.0,0,0.0,9538,0.0,187.0,360.0,1.0,2,9538.0
489,1.0,0.0,0.0,0,0.0,2435,0.0,75.0,360.0,1.0,2,2435.0
118,1.0,1.0,0.0,0,0.0,5568,2142.0,175.0,360.0,1.0,0,7710.0
114,1.0,0.0,0.0,0,2.0,5050,0.0,118.0,360.0,1.0,1,5050.0
175,1.0,1.0,0.0,0,0.0,3497,1964.0,116.0,360.0,1.0,0,5461.0
373,1.0,0.0,1.0,0,0.0,3062,1987.0,111.0,180.0,0.0,2,5049.0
181,1.0,0.0,0.0,0,0.0,1916,5063.0,67.0,360.0,2.0,0,6979.0
144,1.0,1.0,2.0,0,0.0,11757,0.0,187.0,180.0,1.0,2,11757.0
369,1.0,1.0,0.0,0,0.0,19730,5266.0,570.0,360.0,1.0,0,24996.0
390,1.0,0.0,3.0,0,0.0,9167,0.0,185.0,360.0,1.0,0,9167.0
195,1.0,1.0,1.0,0,0.0,3125,2583.0,170.0,360.0,1.0,1,5708.0
404,0.0,0.0,0.0,0,1.0,7441,0.0,194.0,360.0,1.0,0,7441.0
275,1.0,1.0,1.0,0,0.0,2750,1842.0,115.0,360.0,1.0,1,4592.0
454,1.0,0.0,0.0,0,1.0,7085,0.0,84.0,360.0,1.0,1,7085.0
141,1.0,0.0,0.0,0,0.0,5417,0.0,168.0,360.0,1.0,2,5417.0
365,1.0,0.0,0.0,1,0.0,6216,0.0,133.0,360.0,1.0,0,6216.0
67,1.0,1.0,1.0,0,0.0,10750,0.0,312.0,360.0,1.0,2,10750.0
210,0.0,0.0,0.0,0,0.0,10000,0.0,214.0,360.0,1.0,1,10000.0
168,1.0,0.0,0.0,0,0.0,2237,0.0,63.0,480.0,0.0,1,2237.0
493,0.0,0.0,0.0,1,1.0,17263,0.0,225.0,360.0,1.0,1,17263.0
375,1.0,1.0,0.0,0,0.0,4817,923.0,120.0,180.0,1.0,2,5740.0
400,1.0,1.0,2.0,1,0.0,2889,0.0,45.0,180.0,0.0,2,2889.0
272,1.0,0.0,0.0,0,0.0,2833,1857.0,126.0,360.0,1.0,0,4690.0
109,1.0,1.0,3.0,1,0.0,2071,754.0,94.0,480.0,1.0,1,2825.0
248,1.0,1.0,1.0,0,0.0,2882,1843.0,123.0,480.0,1.0,1,4725.0
145,0.0,1.0,0.0,0,0.0,2330,4486.0,100.0,360.0,1.0,1,6816.0
92,1.0,1.0,2.0,1,0.0,3273,1820.0,81.0,360.0,1.0,2,5093.0
152,1.0,0.0,0.0,0,0.0,9166,0.0,244.0,360.0,1.0,2,9166.0
367,1.0,0.0,0.0,0,0.0,5124,0.0,124.0,342.5432098765432,0.0,0,5124.0
467,2.0,1.0,0.0,0,0.0,16692,0.0,110.0,360.0,1.0,1,16692.0
83,1.0,1.0,0.0,0,0.0,6000,2250.0,265.0,360.0,2.0,1,8250.0
245,1.0,0.0,0.0,0,1.0,6050,4333.0,120.0,180.0,1.0,2,10383.0
165,1.0,1.0,0.0,0,0.0,3707,3166.0,182.0,342.5432098765432,1.0,0,6873.0
163,1.0,1.0,2.0,0,0.0,4167,1447.0,158.0,360.0,1.0,0,5614.0
199,1.0,0.0,0.0,0,1.0,11000,0.0,83.0,360.0,1.0,2,11000.0
228,1.0,2.0,4.0,0,0.0,4758,0.0,158.0,480.0,1.0,1,4758.0
74,1.0,1.0,3.0,0,1.0,5266,1774.0,187.0,360.0,1.0,1,7040.0
478,1.0,1.0,1.0,0,1.0,16667,2250.0,86.0,360.0,1.0,1,18917.0
358,1.0,1.0,0.0,1,0.0,3000,1666.0,100.0,480.0,0.0,2,4666.0
250,1.0,1.0,0.0,1,0.0,1668,3890.0,201.0,360.0,0.0,1,5558.0
119,0.0,0.0,0.0,0,0.0,10408,0.0,259.0,360.0,1.0,2,10408.0
310,0.0,0.0,0.0,0,0.0,2917,0.0,84.0,360.0,1.0,1,2917.0
299,1.0,1.0,1.0,0,0.0,2014,2925.0,113.0,360.0,1.0,2,4939.0
255,0.0,0.0,3.0,0,0.0,3083,0.0,255.0,360.0,1.0,0,3083.0
354,0.0,1.0,0.0,0,0.0,2423,505.0,130.0,360.0,1.0,1,2928.0
399,0.0,0.0,0.0,0,0.0,1500,1800.0,103.0,360.0,0.0,1,3300.0
225,1.0,1.0,0.0,0,0.0,3250,0.0,170.0,360.0,1.0,0,3250.0
353,0.0,1.0,0.0,0,1.0,5500,0.0,105.0,360.0,0.0,0,5500.0
234,1.0,1.0,1.0,0,0.0,3155,1779.0,140.0,360.0,1.0,1,4934.0
382,0.0,0.0,0.0,0,0.0,6000,0.0,156.0,360.0,1.0,2,6000.0
274,1.0,1.0,2.0,0,0.0,3900,0.0,90.0,360.0,1.0,1,3900.0
36,1.0,1.0,0.0,0,0.0,1828,1330.0,100.0,342.5432098765432,0.0,2,3158.0
196,1.0,0.0,0.0,0,0.0,8333,3750.0,187.0,360.0,1.0,0,12083.0
139,1.0,1.0,2.0,1,0.0,4200,1430.0,129.0,360.0,1.0,0,5630.0
364,1.0,0.0,0.0,0,1.0,6822,0.0,141.0,360.0,1.0,0,6822.0
244,1.0,1.0,0.0,1,0.0,3406,4417.0,123.0,360.0,1.0,1,7823.0
439,0.0,1.0,0.0,1,1.0,7142,0.0,138.0,360.0,1.0,0,7142.0
286,0.0,0.0,0.0,0,1.0,2600,1717.0,99.0,300.0,1.0,1,4317.0
59,1.0,1.0,2.0,1,0.0,3357,2859.0,144.0,360.0,1.0,2,6216.0
111,0.0,1.0,0.0,0,2.0,2929,2333.0,139.0,360.0,1.0,1,5262.0
89,1.0,1.0,0.0,0,0.0,5695,4167.0,175.0,360.0,1.0,1,9862.0
436,1.0,0.0,0.0,0,0.0,1926,1851.0,50.0,360.0,1.0,1,3777.0
6,1.0,1.0,0.0,1,0.0,2333,1516.0,95.0,360.0,1.0,2,3849.0
360,0.0,0.0,1.0,0,0.0,4723,0.0,81.0,360.0,1.0,1,4723.0
346,1.0,1.0,4.0,1,0.0,3523,3230.0,152.0,360.0,0.0,0,6753.0
338,0.0,0.0,3.0,1,0.0,1830,0.0,144.0207468879668,360.0,0.0,2,1830.0
158,1.0,0.0,0.0,0,2.0,2980,2083.0,120.0,360.0,1.0,0,5063.0
150,1.0,0.0,0.0,0,0.0,6277,0.0,118.0,360.0,0.0,0,6277.0
177,1.0,1.0,3.0,0,0.0,5516,11300.0,495.0,360.0,0.0,1,16816.0
393,1.0,1.0,2.0,1,0.0,1993,1625.0,113.0,180.0,1.0,1,3618.0
184,0.0,1.0,0.0,0,0.0,3625,0.0,108.0,360.0,1.0,1,3625.0
449,1.0,0.0,1.0,1,1.0,2769,1542.0,190.0,360.0,2.0,1,4311.0
10,1.0,1.0,2.0,0,0.0,3200,700.0,70.0,360.0,1.0,2,3900.0
380,1.0,1.0,0.0,0,2.0,3333,2500.0,128.0,360.0,1.0,1,5833.0
103,1.0,1.0,0.0,0,0.0,4652,3583.0,144.0207468879668,360.0,1.0,1,8235.0
81,1.0,1.0,1.0,0,1.0,2395,0.0,144.0207468879668,360.0,1.0,1,2395.0
38,1.0,0.0,0.0,0,0.0,4166,7210.0,184.0,360.0,1.0,2,11376.0
314,2.0,1.0,0.0,0,0.0,2473,1843.0,159.0,360.0,1.0,0,4316.0
167,1.0,1.0,0.0,0,0.0,2439,3333.0,129.0,360.0,1.0,0,5772.0
469,1.0,1.0,0.0,0,0.0,4333,2451.0,110.0,360.0,1.0,2,6784.0
296,1.0,1.0,1.0,0,0.0,6875,0.0,200.0,360.0,1.0,1,6875.0
474,1.0,0.0,2.0,0,0.0,5532,4648.0,162.0,360.0,1.0,0,10180.0
198,0.0,1.0,0.0,0,0.0,3416,2816.0,113.0,360.0,2.0,1,6232.0
297,0.0,1.0,1.0,0,0.0,4666,0.0,135.0,360.0,1.0,2,4666.0
416,0.0,0.0,1.0,0,0.0,2600,0.0,160.0,360.0,1.0,2,2600.0
146,0.0,1.0,2.0,0,0.0,14866,0.0,70.0,360.0,1.0,2,14866.0
392,1.0,1.0,0.0,0,0.0,2583,2115.0,120.0,360.0,2.0,2,4698.0
147,1.0,1.0,1.0,0,0.0,1538,1425.0,30.0,360.0,1.0,2,2963.0
447,1.0,1.0,0.0,0,2.0,3539,1376.0,55.0,360.0,1.0,0,4915.0
287,1.0,1.0,0.0,0,0.0,3704,2000.0,120.0,360.0,1.0,0,5704.0
123,1.0,1.0,2.0,0,0.0,2957,0.0,81.0,360.0,1.0,1,2957.0
368,1.0,1.0,1.0,0,0.0,6325,0.0,175.0,360.0,1.0,1,6325.0
96,0.0,1.0,0.0,0,0.0,2484,2302.0,137.0,360.0,1.0,1,4786.0
143,1.0,1.0,0.0,0,0.0,2698,2034.0,122.0,360.0,1.0,1,4732.0
239,1.0,1.0,1.0,0,0.0,3315,0.0,96.0,360.0,1.0,1,3315.0
442,1.0,0.0,3.0,1,0.0,4707,1993.0,148.0,360.0,1.0,1,6700.0
97,1.0,1.0,0.0,0,0.0,1977,997.0,50.0,360.0,1.0,1,2974.0
407,0.0,0.0,0.0,1,0.0,2213,0.0,66.0,360.0,1.0,0,2213.0
122,0.0,0.0,0.0,0,0.0,2137,8980.0,137.0,360.0,0.0,1,11117.0
183,1.0,1.0,1.0,0,0.0,33846,0.0,260.0,360.0,1.0,1,33846.0
202,1.0,1.0,3.0,1,0.0,3992,0.0,144.0207468879668,180.0,1.0,2,3992.0
246,1.0,1.0,2.0,0,0.0,9703,0.0,112.0,360.0,1.0,2,9703.0
305,1.0,0.0,0.0,1,0.0,2000,0.0,144.0207468879668,360.0,1.0,2,2000.0
298,0.0,0.0,0.0,0,0.0,5000,2541.0,151.0,480.0,1.0,0,7541.0
351,1.0,0.0,0.0,0,0.0,8750,4167.0,308.0,360.0,1.0,0,12917.0
386,1.0,0.0,0.0,1,0.0,2346,1600.0,132.0,360.0,1.0,1,3946.0
395,1.0,1.0,2.0,0,0.0,3276,484.0,135.0,360.0,2.0,1,3760.0
284,1.0,1.0,0.0,0,0.0,20667,0.0,144.0207468879668,360.0,1.0,0,20667.0
125,0.0,0.0,0.0,0,0.0,3692,0.0,93.0,360.0,2.0,0,3692.0
302,0.0,0.0,0.0,0,0.0,5000,0.0,132.0,360.0,1.0,0,5000.0
223,1.0,1.0,0.0,0,0.0,7578,1010.0,175.0,342.5432098765432,1.0,1,8588.0
418,1.0,1.0,0.0,0,0.0,1025,2773.0,112.0,360.0,1.0,0,3798.0
219,0.0,1.0,2.0,0,0.0,4283,2383.0,127.0,360.0,2.0,1,6666.0
129,1.0,1.0,0.0,0,0.0,6080,2569.0,182.0,360.0,2.0,0,8649.0
420,1.0,1.0,0.0,0,0.0,5829,0.0,138.0,360.0,1.0,0,5829.0
289,1.0,0.0,0.0,0,0.0,9508,0.0,187.0,360.0,1.0,0,9508.0
444,1.0,1.0,0.0,0,0.0,7333,8333.0,175.0,300.0,2.0,0,15666.0
376,1.0,1.0,3.0,0,0.0,8750,4996.0,130.0,360.0,1.0,0,13746.0
291,1.0,1.0,2.0,0,0.0,4400,0.0,127.0,360.0,0.0,1,4400.0
355,0.0,0.0,4.0,0,0.0,3813,0.0,116.0,180.0,1.0,2,3813.0
294,1.0,1.0,0.0,0,0.0,2383,3334.0,172.0,360.0,1.0,1,5717.0
396,0.0,0.0,0.0,0,0.0,3180,0.0,71.0,360.0,0.0,2,3180.0
340,1.0,1.0,3.0,1,0.0,2647,1587.0,173.0,360.0,1.0,0,4234.0
112,1.0,1.0,0.0,1,0.0,3572,4114.0,152.0,342.5432098765432,0.0,0,7686.0
179,1.0,0.0,0.0,1,0.0,2333,1451.0,102.0,480.0,0.0,2,3784.0
307,0.0,0.0,0.0,0,0.0,2400,1863.0,104.0,360.0,0.0,2,4263.0
